domain,institute,rcm,model,run,scenario
EUR,CESAM,,MPI-ESM1-2-HR,r1i1p1f1,ssp126
EUR,CESAM,,MPI-ESM1-2-HR,r1i1p1f1,ssp370
EUR,CNRM,,CNRM-ESM2-1,r1i1p1f2,
EUR,IDL,WRF,EC-Earth3-Veg,r6i1p1f1,ssp126
EUR,IDL,WRF,EC-Earth3-Veg,r6i1p1f1,ssp245
EUR,IDL,WRF,EC-Earth3-Veg,r6i1p1f1,ssp585
EUR,IDL,WRF,MPI-ESM1-2-HR,r1i1p1f1,ssp126
EUR,IDL,WRF,MPI-ESM1-2-HR,r1i1p1f1,ssp245
EUR,IDL,WRF,MPI-ESM1-2-HR,r1i1p1f1,ssp370
EUR,NUKLEUS,CCLM,EC-Earth3,r1i1p1f1,ssp370
EUR,NUKLEUS,CCLM,MPI-ESM1-2-HR,r1i1p1f1,ssp370
EUR,NUKLEUS,ICON-CLM,EC-Earth3,r1i1p1f1,ssp370
EUR,NUKLEUS,ICON-CLM,MPI-ESM1-2-HR,r1i1p1f1,ssp370
EUR,NUKLEUS,REMO,EC-Earth3,r1i1p1f1,ssp370
EUR,NUKLEUS,REMO,MPI-ESM1-2-HR,r1i1p1f1,ssp370
