,,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,2. Performance,2. Performance,2. Performance,2. Performance,2. Performance,2. Performance,2. Performance,2. Performance,2. Performance,2. Performance,2. Performance,2. Performance,2. Performance,3. Spread,3. Spread,3. Spread,3. Spread,3. Spread,4. Independence
. Plausible values,max,,,,,,,,,2.27,0.20,1.00,27.00,4.00,5.00,1.00,2.00,50.00,4.00,50.00,4.00,,,,,,
. Plausible values,min,,,,,,,,,0.90,0.01,1.00,1.00,-4.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,,,,,,
model,run,synthesis,historical,ssp119,ssp126,ssp245,ssp370,ssp585,Synthesis,Tok20 Constrained TCR,Bru20 perf,Qas21 Constrained Dtas ssp245,Can20 marle,Oud20 jetpos,Bra21 Lamb EUR,P. Nabat EUR AOD,F. Sevault MED SST,Dobler SICE rmse NAtl,Dobler SST rmse NAtl,Dobler SICE rmse BNS,Dobler SST rmse BNS,Sch20 ECS,Oud20 jetposdelta ssp585,Atlas Dtas NEU JJA ssp585,Atlas Dpr MED JJA ssp585,Sevault MED SST warming ssp585,Bru20 mfamily
ACCESS-CM2,r1i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,0,,0.07,0.00,,,0.56,1.00,1.10,22.30,1.80,4.40,2.20,4.72,,6.25,-14.53,4.20,HadGEM
ACCESS-ESM1-5,r1i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,1,,0.04,1.00,,,0.65,1.00,1.20,12.70,1.30,9.30,1.70,3.87,,4.38,-25.48,4.00,ACCESS
ACCESS-ESM1-5,r3i1p1f1,0.00,RCM,,ESD,ESD,ESD,ESD,1,,,,,,0.65,,,,,,,,,,,,
AWI-CM-1-1-MR,r1i1p1f1,0.00,-,,ESD,ESD,ESD,ESD,,,,,,,,,,,,,,3.16,,4.60,,,
AWI-ESM-1-1-LR,r1i1p1f1,0.00,RCM,,,,,,1,,,,,,0.64,,,,,,,,,,,,
BCC-CSM2-MR,r1i1p1f1,0.00,3Dml,,3Dml,3Dml,3Dml,3Dml,0,1.60,0.02,1.00,19.00,-1.49,0.65,1.00,1.30,53.40,4.30,8.10,2.70,3.04,1.33,3.19,-44.93,3.20,BCC
BCC-ESM1,r1i1p1f1,0.00,ESD,,,,ESD,,,,,,,,,,,,,,,3.26,,,,,
CAMS-CSM1-0,r2i1p1f1,0.00,Basic,Basic,Basic,Basic,Basic,Basic,,,,,,,,,,,,,,2.29,,2.46,-35.15,,
CAS-ESM2-0,r1i1p1f1,0.00,-,,-,-,-,-,,,,,,,,,,,,,,3.51,,,,,
CESM2,r1i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,1,,,,,,,,,15.40,1.70,5.60,1.40,,,,,,
CESM2,r2i1p1f1,1.00,ESD,,RCM,RCM,RCM,RCM,1,1.99,0.02,1.00,11.00,1.42,,1.00,1.20,,,,,5.16,-1.53,,,3.80,CESM
CESM2,r4i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,,,,,,,,,,,,,,,,3.31,-27.04,,
CESM2,r11i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,,,,,,,,,,,,,,,,,,,
CESM2-FV2,r1i1p1f1,0.00,Basic,,,,,,,,,,,,,,,,,,,5.14,,,,,
CESM2-WACCM,r1i1p1f1,0.00,ESD,,ESD,Basic,Basic,ESD,,,,,,,,,,,,,,4.75,,3.88,-24.97,,
CESM2-WACCM-FV2,r1i1p1f1,0.00,Basic,,,,,,,,,,,,,,,,,,,4.79,,,,,
CMCC-CM2-SR5,r1i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,1,,,,,,0.63,,,,,,,3.52,,5.39,-8.78,,
CMCC-ESM2,r1i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,1,,,,,,0.54,,,,,,,,,,,,
CNRM-CM6-1,r1i1p1f2,0.00,RCM,,RCM,ESD,ESD,RCM,1,2.23,0.02,1.00,7.00,-2.79,0.75,1.00,1.00,12.20,1.00,4.90,1.40,4.83,0.84,4.35,-47.74,3.40,CNRM
CNRM-CM6-1-HR,r1i1p1f2,0.00,RCM,,ESD,-,-,ESD,0,2.47,0.02,0.00,,,0.82,1.00,1.10,22.50,2.00,7.80,1.20,4.28,,4.89,-55.05,3.80,CNRM
CNRM-ESM2-1,r1i1p1f2,1.00,RCM,RCM,RCM,RCM,RCM,RCM,1,1.82,0.02,1.00,,-3.02,0.76,1.00,1.30,7.50,1.40,4.60,1.90,4.76,0.00,3.92,-48.05,3.10,CNRM
CanESM5,r1i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,0,,0.00,0.00,15.00,0.90,,1.00,0.90,10.60,0.90,6.20,1.30,5.62,0.98,6.64,-7.57,5.10,CanESM
CanESM5,r1i1p2f1,1.00,RCM,ESD,RCM,RCM,RCM,RCM,0,2.75,,,,,,,,,,,,,,,,,
CanESM5,r2i1p2f1,1.00,RCM,ESD,RCM,RCM,RCM,RCM,0,2.75,,,,,,,,,,,,,,,,,
CanESM5,r3i1p2f1,1.00,RCM,ESD,RCM,RCM,RCM,RCM,0,2.75,,,,,,,,,,,,,,,,,
E3SM-1-0,r1i1p1f1,0.00,-,,,,,,,,,,,,,,,,,,,5.32,,,,,
EC-Earth3,r1i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,0,2.32,0.01,0.00,5.00,-0.26,0.33,1.00,0.80,19.50,0.90,5.10,1.10,,-0.06,6.30,-41.43,4.30,EC-Earth
EC-Earth3-AerChem,r1i1p1f1,0.00,Basic,,,,ESD,,1,,,,,,0.40,,,,,,,,,,,,
EC-Earth3-CC,r1i1p1f1,0.00,Basic,,,ESD,,ESD,1,,,,,,0.33,,,,,,,,,,,,
EC-Earth3-Veg,r1i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,0,2.76,0.01,0.00,,-0.69,0.39,1.00,0.90,10.70,1.00,5.10,1.10,4.31,-0.12,5.78,-31.77,3.90,EC-Earth
EC-Earth3-Veg,r2i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,,,,,,,,,,,,,,,,,,,
EC-Earth3-Veg,r3i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,,,,,,,,,,,,,,,,,,,
EC-Earth3-Veg-LR,r1i1p1f1,0.00,Basic,ESD,ESD,ESD,ESD,ESD,1,,,,,,0.41,,,,,,,,,,,,
FGOALS-f3-L,r1i1p1f1,0.00,3Dml,,-,-,-,-,,,,,,,,,,,,,,3.00,,,,,
FGOALS-g3,r1i1p1f1,0.00,3Dml,3Dml,3Dml,ESD,3Dml,ESD,0,,0.00,1.00,21.00,-0.43,,1.00,1.90,67.20,5.30,,3.80,2.88,0.80,3.14,-9.14,2.10,FGOALS
FGOALS-g3,r3i1p1f1,0.00,3Dml,,3Dml,3Dml,3Dml,3Dml,1,,,,,,0.96,,,,,,,,,,,,
GFDL-CM4,r1i1p1f1,0.00,ESD,,,ESD,,ESD,1,,,,,,0.64,,,,,,,,,5.84,-43.64,,
GFDL-ESM4,r1i1p1f1,0.00,Basic,Basic,Basic,Basic,Basic,Basic,1,1.61,0.13,1.00,1.00,-3.40,,1.00,0.80,,,,,,0.32,3.27,-37.26,2.70,GFDL
GFDL-ESM4,r2i1p1f1,0.00,-,,,-,,,1,,,,,,,,,10.10,1.40,10.20,1.30,,,,,,
GISS-E2-1-G,r1i1p1f1,0.00,3Dml,,,,,,1,,,,,,0.71,,,,,,,2.72,,,,,
GISS-E2-1-H,r1i1p1f1,0.00,-,,,,,,,,,,,,,,,,,,,3.11,,,,,
HadGEM3-GC31-LL,r1i1p1f3,0.00,RCM,,RCM,RCM,,RCM,,,,,,,,,,,,,,5.55,,7.02,-37.56,,
HadGEM3-GC31-MM,r1i1p1f3,0.00,RCM,,RCM,,,RCM,1,,,,,,0.42,,,,,,,5.42,,,,,
