,,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,4. Other criteria,4. Other criteria,4. Other criteria,4. Other criteria,4. Other criteria
. Plausible values,max,,,,,,,,,1.00,2.40,0.20,1.00,2.00,2.00,2.00,3.00,1.00,3.00,0.20,0.00,2.00,2.00,2.00,33.50,4.50,2.50,17.50,2.50,2.50,,,,,,,,,,,,,,,,
. Plausible values,min,,,,,,,,,0.00,1.20,0.01,1.00,0.00,0.00,0.00,-3.00,0.00,0.00,0.00,-999.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,
model,run,synthesis,historical,ssp119,ssp126,ssp245,ssp370,ssp585,Synthesis,Dalelane MNQS,AR6 TCR very likely range,Bru20 perf,Qasmi Constr Global Dtas ssp245 2050,Dav20 blocking freq DJF,Dav20 blocking freq JJA,Pri20 storm track,Oud20 jetpos,Bra21 Lamb EUR,Dobler SST rmse EUR,Nabat EUR AOD,Nabat EUR AOD hist trend,McSw15 circ DJF,McSw15 circ JJA,Sevault MED SST,Dobler SICE rmse NBS,Dobler SST rmse NBS,Dobler SST rmse BNS,Dobler SICE rmse BAL,Dobler SST rmse BLK,Dobler SST rmse SNA,AR6 TCR as spread,Sch20 ECS,Oud20 jetposdelta ssp585,Nabat EUR AOD future change ssp585,Qasmi Constr EUR Dtas ssp245 2050 JJA ssp245,Atlas Dtas NEU DJF ssp585,Atlas Dtas NEU JJA ssp585,Atlas Dtas WCE JJA ssp585,Atlas Dtas MED JJA ssp585,Atlas Dpr MED JJA ssp585,Sevault MED SST warming ssp585,Bru20 mfamily,Aer. species,atm. res. km,Bra21 complexity,Calendar
ACCESS-CM2,r1i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,2,0.79,2.10,0.07,0.00,0.00,1.00,2.00,,0.56,1.40,0.09,-0.12,1.00,0.00,1.10,18.30,2.00,2.20,6.80,-99.00,0.60,2.10,4.72,,-0.03,5.00,6.90,6.25,7.90,6.37,-14.53,4.20,HadGEM,,250.00,2222002000.00,gregorian
ACCESS-CM2,r4i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,1,,2.10,0.07,0.00,,,,,,,,,,,,,,,,,,2.10,,,,5.00,,,,,,,,,,,
ACCESS-CM2,r5i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,1,,2.10,0.07,0.00,,,,,,,,,,,,,,,,,,2.10,,,,5.00,,,,,,,,,,,
ACCESS-ESM1-5,r1i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,2,0.77,1.95,0.04,1.00,,,3.00,,0.65,1.40,0.06,-0.07,2.00,2.00,1.20,3.10,0.80,1.70,14.50,-99.00,1.40,1.95,3.87,,-0.01,4.00,4.57,4.38,6.48,5.71,-25.48,4.00,,,250.00,2222122020.00,gregorian
ACCESS-ESM1-5,r2i1p1f1,0.00,RCM,,ESD,ESD,ESD,ESD,0,,,0.04,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCESS-ESM1-5,r3i1p1f1,0.00,RCM,,ESD,ESD,ESD,ESD,0,,,0.04,1.00,,,,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCESS-ESM1-5,r6i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AWI-CM-1-1-MR,r1i1p1f1,0.00,-,,ESD,ESD,ESD,ESD,1,,2.06,0.06,0.00,,,,,,,,,,,0.90,,,,,,,2.06,3.16,0.94,,5.00,5.51,4.60,6.16,5.63,,3.40,,,100.00,,gregorian
AWI-ESM-1-1-LR,r1i1p1f1,0.00,RCM,,,,,,0,,,,,,,1.00,,0.64,,0.06,-0.11,,,1.30,,,,,,,,,,,,,,,,,,,,,2222220100.00,
BCC-CSM2-MR,r1i1p1f1,0.00,3Dml,,3Dml,3Dml,3Dml,3Dml,2,0.78,1.72,0.02,1.00,1.00,1.00,2.00,-1.49,0.65,2.50,,,1.00,1.00,1.30,38.10,4.40,2.70,13.40,1.80,1.00,1.72,3.04,1.33,,3.00,5.60,3.19,5.04,5.08,-44.93,3.20,,,100.00,2222221120.00,365_day
BCC-ESM1,r1i1p1f1,0.00,ESD,,,,ESD,,0,,1.77,,,2.00,2.00,,,,,0.13,-0.10,2.00,2.00,1.50,,,,,,,1.77,3.26,,,,,,,,,,,dust so4 ss,,,
BCC-ESM1,r2i1p1f1,0.00,Basic,,,,ESD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dust so4 ss,,,
