,,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,3. Spread of future outcomes,3. Spread of future outcomes,4. Other criteria
. Plausible values,max,,,,,,,,,2.40,0.20,1.00,,,
. Plausible values,min,,,,,,,,,1.20,0.01,1.00,,,
model,run,synthesis,historical,ssp119,ssp126,ssp245,ssp370,ssp585,Synthesis,AR6 TCR very likely range,Bru20 perf,Qasmi Constr Global Dtas ssp245 2050,AR6 TCR as spread,Sch20 ECS,Bru20 mfamily
ACCESS-CM2,r1i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,1,2.10,0.07,0.00,2.10,4.72,HadGEM
ACCESS-CM2,r4i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,1,2.10,0.07,0.00,2.10,,
ACCESS-CM2,r5i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,1,2.10,0.07,0.00,2.10,,
ACCESS-ESM1-5,r1i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,0,1.95,0.04,1.00,1.95,3.87,
ACCESS-ESM1-5,r2i1p1f1,0.00,RCM,,ESD,ESD,ESD,ESD,0,,0.04,1.00,,,
ACCESS-ESM1-5,r3i1p1f1,0.00,RCM,,ESD,ESD,ESD,ESD,0,,0.04,1.00,,,
AWI-CM-1-1-MR,r1i1p1f1,0.00,-,,ESD,ESD,ESD,ESD,1,2.06,0.06,0.00,2.06,3.16,
BCC-CSM2-MR,r1i1p1f1,0.00,3Dml,,3Dml,3Dml,3Dml,3Dml,0,1.72,0.02,1.00,1.72,3.04,
BCC-ESM1,r1i1p1f1,0.00,ESD,,,,ESD,,0,1.77,,,1.77,3.26,
CAMS-CSM1-0,r1i1p1f1,0.00,-,-,-,-,-,-,0,1.73,0.06,,1.73,,
CAMS-CSM1-0,r2i1p1f1,0.00,Basic,Basic,Basic,Basic,Basic,Basic,0,,0.06,,,2.29,
CAS-ESM2-0,r1i1p1f1,0.00,-,,-,-,-,-,0,2.04,,1.00,2.04,3.51,
CESM2,r1i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,1,,0.02,0.00,,,CESM
CESM2,r2i1p1f1,1.00,ESD,,RCM,RCM,RCM,RCM,1,2.06,0.02,0.00,2.06,5.16,CESM
CESM2,r4i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,1,,,0.00,,,
CESM2,r11i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,1,2.06,0.02,0.00,2.06,,
CESM2-FV2,r1i1p1f1,0.00,Basic,,,,,,0,2.05,,,2.05,5.14,
CESM2-WACCM,r1i1p1f1,0.00,ESD,,ESD,Basic,Basic,ESD,1,1.98,0.01,0.00,1.98,4.75,CESM
CESM2-WACCM-FV2,r1i1p1f1,0.00,Basic,,,,,,0,2.01,,,2.01,4.79,
CIESM,r1i1p1f1,0.00,-,,-,-,,-,1,2.39,,0.00,2.39,,
CMCC-CM2-SR5,r1i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,1,2.09,,0.00,2.09,3.52,
CMCC-ESM2,r1i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,1,,,0.00,,,
CNRM-CM6-1,r1i1p1f2,0.00,RCM,,RCM,ESD,ESD,RCM,0,2.14,0.02,1.00,2.14,4.83,CNRM
CNRM-CM6-1,r2i1p1f2,0.00,RCM,,-,-,ESD,-,0,,0.02,1.00,,,CNRM
CNRM-CM6-1,r3i1p1f2,0.00,RCM,,-,-,ESD,-,0,,0.02,1.00,,,CNRM
CNRM-CM6-1,r4i1p1f2,0.00,ESD,,-,-,-,-,0,,0.02,1.00,,,CNRM
CNRM-CM6-1,r5i1p1f2,0.00,ESD,,-,-,-,-,0,,0.02,1.00,,,CNRM
CNRM-CM6-1,r6i1p1f2,0.00,ESD,,-,-,-,-,0,,0.02,1.00,,,CNRM
