model,run,synthesis,historical,ssp119,ssp126,ssp245,ssp370,ssp585
ACCESS-CM2,r1i1p1f1,1,RCM,,RCM,RCM,RCM,RCM
ACCESS-CM2,r2i1p1f1,0,Basic,,Basic,Basic,Basic,Basic
ACCESS-CM2,r3i1p1f1,0,Basic,,Basic,Basic,Basic,Basic
ACCESS-ESM1-5,r1i1p1f1,0,RCM,,ESD,ESD,ESD,ESD
ACCESS-ESM1-5,r2i1p1f1,0,RCM,,ESD,ESD,ESD,ESD
ACCESS-ESM1-5,r3i1p1f1,0,RCM,,ESD,ESD,ESD,ESD
ACCESS-ESM1-5,r4i1p1f1,0,RCM,,ESD,ESD,ESD,ESD
ACCESS-ESM1-5,r5i1p1f1,0,RCM,,ESD,ESD,ESD,ESD
ACCESS-ESM1-5,r6i1p1f1,0,RCM,,ESD,ESD,ESD,ESD
ACCESS-ESM1-5,r7i1p1f1,0,RCM,,ESD,ESD,ESD,ESD
ACCESS-ESM1-5,r8i1p1f1,0,RCM,,ESD,ESD,ESD,ESD
ACCESS-ESM1-5,r9i1p1f1,0,RCM,,ESD,ESD,ESD,ESD
ACCESS-ESM1-5,r10i1p1f1,0,RCM,,ESD,ESD,ESD,ESD
ACCESS-ESM1-5,r11i1p1f1,0,Basic,,,-,,
ACCESS-ESM1-5,r12i1p1f1,0,Basic,,,-,,
ACCESS-ESM1-5,r13i1p1f1,0,Basic,,,-,,
ACCESS-ESM1-5,r14i1p1f1,0,Basic,,,-,,
ACCESS-ESM1-5,r15i1p1f1,0,Basic,,,Basic,,
ACCESS-ESM1-5,r16i1p1f1,0,Basic,,,-,,
ACCESS-ESM1-5,r17i1p1f1,0,Basic,,,-,,
ACCESS-ESM1-5,r18i1p1f1,0,Basic,,,Basic,,
ACCESS-ESM1-5,r19i1p1f1,0,Basic,,,-,,
ACCESS-ESM1-5,r20i1p1f1,0,Basic,,,ESD,,
ACCESS-ESM1-5,r21i1p1f1,0,Basic,,,-,,
ACCESS-ESM1-5,r22i1p1f1,0,Basic,,,-,,
ACCESS-ESM1-5,r23i1p1f1,0,Basic,,,-,,
ACCESS-ESM1-5,r24i1p1f1,0,Basic,,,-,,
ACCESS-ESM1-5,r25i1p1f1,0,Basic,,,Basic,,
ACCESS-ESM1-5,r26i1p1f1,0,Basic,,,-,,
ACCESS-ESM1-5,r27i1p1f1,0,Basic,,,-,,
ACCESS-ESM1-5,r28i1p1f1,0,Basic,,,-,,
ACCESS-ESM1-5,r29i1p1f1,0,Basic,,,-,,
ACCESS-ESM1-5,r30i1p1f1,0,Basic,,,-,,
AWI-CM-1-1-MR,r1i1p1f1,0,-,,ESD,ESD,ESD,ESD
AWI-CM-1-1-MR,r2i1p1f1,0,-,,,,ESD,
AWI-CM-1-1-MR,r3i1p1f1,0,-,,,,ESD,
AWI-CM-1-1-MR,r4i1p1f1,0,-,,,,ESD,
AWI-CM-1-1-MR,r5i1p1f1,0,-,,,,ESD,
AWI-ESM-1-1-LR,r1i1p1f1,0,RCM,,,,,
BCC-CSM2-MR,r1i1p1f1,0,3Dml,,3Dml,3Dml,3Dml,3Dml
BCC-CSM2-MR,r2i1p1f1,0,Basic,,,,,
BCC-CSM2-MR,r3i1p1f1,0,Basic,,,,,
BCC-ESM1,r1i1p1f1,0,ESD,,,,ESD,
BCC-ESM1,r2i1p1f1,0,Basic,,,,ESD,
BCC-ESM1,r3i1p1f1,0,Basic,,,,ESD,
CAMS-CSM1-0,r1i1p1f1,0,-,-,-,-,-,-
CAMS-CSM1-0,r1i1p1f2,0,-,,,,,
CAMS-CSM1-0,r2i1p1f1,0,Basic,Basic,Basic,Basic,Basic,Basic
CAS-ESM2-0,r1i1p1f1,0,-,,-,-,-,-
CAS-ESM2-0,r2i1p1f1,0,-,,,,,
CAS-ESM2-0,r3i1p1f1,0,-,,-,-,-,-
CAS-ESM2-0,r4i1p1f1,0,-,,,,,
CESM2-FV2,r1i1p1f1,0,Basic,,,,,
CESM2-FV2,r2i1p1f1,0,Basic,,,,,
CESM2-FV2,r3i1p1f1,0,Basic,,,,,
CESM2-WACCM-FV2,r1i1p1f1,0,Basic,,,,,
CESM2-WACCM-FV2,r2i1p1f1,0,Basic,,,,,
CESM2-WACCM-FV2,r3i1p1f1,0,Basic,,,,,
CESM2-WACCM,r1i1p1f1,0,ESD,,ESD,Basic,Basic,ESD
CESM2-WACCM,r2i1p1f1,0,ESD,,,ESD,Basic,Basic
CESM2-WACCM,r3i1p1f1,0,ESD,,,ESD,Basic,ESD
CESM2-WACCM,r4i1p1f1,0,,,,ESD,,ESD
CESM2-WACCM,r5i1p1f1,0,,,,ESD,,ESD
CESM2,r1i1p1f1,0,ESD,,ESD,ESD,ESD,ESD
CESM2,r2i1p1f1,1,ESD,,RCM,RCM,RCM,RCM
CESM2,r3i1p1f1,0,ESD,,,Basic,-,
CESM2,r4i1p1f1,0,ESD,,ESD,ESD,ESD,ESD
CESM2,r5i1p1f1,0,ESD,,,,-,
CESM2,r6i1p1f1,0,ESD,,,,-,
CESM2,r7i1p1f1,0,ESD,,,,,
CESM2,r8i1p1f1,0,ESD,,,,,
CESM2,r9i1p1f1,0,ESD,,,,,
CESM2,r10i1p1f1,0,-,,ESD,ESD,ESD,ESD
CESM2,r11i1p1f1,1,RCM,,RCM,RCM,RCM,RCM
CIESM,r1i1p1f1,0,-,,-,-,,-
CIESM,r2i1p1f1,0,-,,,,,
CIESM,r3i1p1f1,0,-,,,,,
CMCC-CM2-HR4,r1i1p1f1,0,Basic,,,,,
CMCC-CM2-SR5,r1i1p1f1,1,RCM,,RCM,RCM,RCM,RCM
CMCC-ESM2,r1i1p1f1,1,RCM,,RCM,RCM,RCM,RCM
CNRM-CM6-1-HR,r1i1p1f2,0,RCM,,ESD,-,-,ESD
CNRM-CM6-1,r1i1p1f2,1,RCM,,RCM,ESD,ESD,RCM
CNRM-CM6-1,r2i1p1f2,0,RCM,,-,-,ESD,-
CNRM-CM6-1,r3i1p1f2,0,RCM,,-,-,ESD,-
CNRM-CM6-1,r4i1p1f2,0,ESD,,-,-,-,-
CNRM-CM6-1,r5i1p1f2,0,ESD,,-,-,-,-
CNRM-CM6-1,r6i1p1f2,0,ESD,,-,-,-,-
CNRM-CM6-1,r7i1p1f2,0,Basic,,,-,,
CNRM-CM6-1,r8i1p1f2,0,Basic,,,-,,
CNRM-CM6-1,r9i1p1f2,0,Basic,,,-,,
CNRM-CM6-1,r10i1p1f2,0,Basic,,,-,,
CNRM-CM6-1,r11i1p1f2,0,ESD,,,,,
CNRM-CM6-1,r12i1p1f2,0,ESD,,,,,
CNRM-CM6-1,r13i1p1f2,0,ESD,,,,,
CNRM-CM6-1,r14i1p1f2,0,ESD,,,,,
CNRM-CM6-1,r15i1p1f2,0,ESD,,,,,
CNRM-CM6-1,r16i1p1f2,0,ESD,,,,,
CNRM-CM6-1,r17i1p1f2,0,ESD,,,,,
CNRM-CM6-1,r18i1p1f2,0,ESD,,,,,
CNRM-CM6-1,r19i1p1f2,0,ESD,,,,,
CNRM-CM6-1,r20i1p1f2,0,ESD,,,,,
CNRM-CM6-1,r21i1p1f2,0,ESD,,,,,
