,,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,3. Spread of future outcomes,3. Spread of future outcomes,4. Other criteria,4. Other criteria,4. Other criteria,4. Other criteria,4. Other criteria
. Plausible values,max,,,,,,,,,2.40,0.20,1.00,1.00,1.00,1.00,1.00,0.25,,,,,,,
. Plausible values,min,,,,,,,,,1.20,0.01,0.00,1.00,0.40,0.40,0.40,0.00,,,,,,,
model,run,synthesis,historical,ssp119,ssp126,ssp245,ssp370,ssp585,Synthesis,AR6 TCR,Bru20 perf,Dalelane MNQS,Qasmi Constr Global Dtas ssp245 2050,Bu22 SOM freq corr,Bu22 SOM pers corr,Bu22 SOM trans corr,Han22 TCgen MIEI NWP,AR6 TCR as spread,Sch20 ECS,Bru20 mfamily,Aer. species,Bra21 complexity,Calendar,atm. res. km
ACCESS-CM2,r1i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,1,2.10,0.07,0.79,0.00,0.49,0.91,0.76,0.24,2.10,4.72,HadGEM,,2222002000.00,gregorian,250.00
ACCESS-CM2,r4i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,1,2.10,0.07,,0.00,,,,,2.10,,,,,,
ACCESS-CM2,r5i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,1,2.10,0.07,,0.00,,,,,2.10,,,,,,
ACCESS-ESM1-5,r1i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,0,1.95,0.04,0.77,1.00,,,,0.15,1.95,3.87,,,2222122020.00,gregorian,250.00
ACCESS-ESM1-5,r2i1p1f1,0.00,RCM,,ESD,ESD,ESD,ESD,0,,0.04,,1.00,,,,,,,,,,,
ACCESS-ESM1-5,r3i1p1f1,0.00,RCM,,ESD,ESD,ESD,ESD,0,,0.04,,1.00,,,,,,,,,,,
ACCESS-ESM1-5,r6i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,,,,,,,,,,,,,,,,
AWI-CM-1-1-MR,r1i1p1f1,0.00,-,,ESD,ESD,ESD,ESD,1,2.06,0.06,,0.00,,,,0.20,2.06,3.16,,,,gregorian,100.00
AWI-ESM-1-1-LR,r1i1p1f1,0.00,RCM,,,,,,0,,,,,0.50,0.77,0.74,,,,,,2222220100.00,,
BCC-CSM2-MR,r1i1p1f1,0.00,3Dml,,3Dml,3Dml,3Dml,3Dml,0,1.72,0.02,0.78,1.00,0.71,0.85,0.75,0.17,1.72,3.04,,,2222221120.00,365_day,100.00
BCC-ESM1,r1i1p1f1,0.00,ESD,,,,ESD,,0,1.77,,,,0.70,0.92,0.74,0.21,1.77,3.26,,dust so4 ss,,,
BCC-ESM1,r2i1p1f1,0.00,Basic,,,,ESD,,,,,,,,,,,,,,dust so4 ss,,,
BCC-ESM1,r3i1p1f1,0.00,Basic,,,,ESD,,,,,,,,,,,,,,dust so4 ss,,,
CAMS-CSM1-0,r1i1p1f1,0.00,-,-,-,-,-,-,0,1.73,0.06,,,,,,0.25,1.73,,,,,365_day,100.00
CAMS-CSM1-0,r2i1p1f1,0.00,Basic,Basic,Basic,Basic,Basic,Basic,0,,0.06,,,,,,,,2.29,,,,,
CAS-ESM2-0,r1i1p1f1,0.00,-,,-,-,-,-,0,2.04,,,1.00,,,,,2.04,3.51,,,,365_day,100.00
CESM2,r1i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,1,,0.02,0.79,0.00,0.63,0.72,0.71,0.19,,,CESM,bc dust oa so4,,,
CESM2,r2i1p1f1,0.00,ESD,,RCM,RCM,RCM,RCM,1,2.06,0.02,0.75,0.00,0.63,0.88,0.71,,2.06,5.16,CESM,bc dust oa so4 ss,,365_day,100.00
CESM2,r3i1p1f1,0.00,ESD,,,Basic,-,,0,,,,,0.63,0.63,0.67,,,,,bc dust oa so4,,,
CESM2,r4i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,1,,,,0.00,0.61,0.83,0.67,,,,,bc dust oa so4,,,
CESM2,r5i1p1f1,0.00,ESD,,,,-,,0,,,,,0.62,0.67,0.60,,,,,bc dust oa so4,,,
CESM2,r6i1p1f1,0.00,ESD,,,,-,,0,,,,,0.62,0.77,0.67,,,,,bc dust oa so4,,,
CESM2,r7i1p1f1,0.00,ESD,,,,,,0,,,,,0.62,0.80,0.61,,,,,,,,
CESM2,r8i1p1f1,0.00,ESD,,,,,,0,,,,,0.62,0.68,0.67,,,,,,,,
CESM2,r9i1p1f1,0.00,ESD,,,,,,0,,,,,0.62,0.75,0.68,,,,,,,,
CESM2,r10i1p1f1,0.00,-,,ESD,ESD,ESD,ESD,0,,,,,0.63,0.88,0.78,,,,,bc dust oa so4,,,
