model,run,historical,ssp119,ssp126,ssp245,ssp370,ssp585
AWI-ESM-1-1-LR,r1i1p1f1,aerasymbnd aeroptbnd aerssabnd,,,,,
BCC-ESM1,r1i1p1f1,od550dust od550so4 od550ss,,,,od550dust od550so4 od550ss,
BCC-ESM1,r2i1p1f1,,,,,od550dust od550so4 od550ss,
BCC-ESM1,r3i1p1f1,,,,,od550dust od550so4 od550ss,
CESM2,r1i1p1f1,od550bc od550dust od550oa od550so4,,od550dust od550so4,,od550bc od550dust od550oa od550so4,od550dust od550so4
CESM2,r2i1p1f1,od550bc od550dust od550oa od550so4,,od550dust od550so4,,od550bc od550dust od550oa od550so4 od550ss,od550dust od550so4
CESM2,r3i1p1f1,od550bc od550dust od550oa od550so4,,,,od550bc od550dust od550oa od550so4,
CESM2,r4i1p1f1,od550bc od550dust od550oa od550so4,,od550dust od550so4,,od550bc od550dust od550oa od550so4,od550dust od550so4
CESM2,r5i1p1f1,od550bc od550dust od550oa od550so4,,,,od550bc od550dust od550oa od550so4,
CESM2,r6i1p1f1,od550bc od550dust od550oa od550so4,,,,od550bc od550dust od550oa od550so4,
CESM2,r7i1p1f1,od550bc od550dust od550oa od550so4,,,,,
CESM2,r8i1p1f1,od550bc od550dust od550oa od550so4,,,,,
CESM2,r9i1p1f1,od550bc od550dust od550oa od550so4,,,,,
CESM2,r10i1p1f1,od550bc od550dust od550oa od550so4,,od550dust od550so4,,od550bc od550dust od550oa od550so4,od550dust od550so4
CESM2,r11i1p1f1,od550bc od550dust od550oa od550so4,,od550dust od550so4,,od550bc od550dust od550oa od550so4,od550dust od550so4
CESM2-FV2,r1i1p1f1,od550bc od550dust od550oa od550so4,,,,,
CESM2-FV2,r2i1p1f1,od550bc od550dust od550oa od550so4,,,,,
CESM2-FV2,r3i1p1f1,od550bc od550dust od550oa od550so4,,,,,
CESM2-WACCM,r1i1p1f1,od550bc od550dust od550oa od550so4,,od550dust od550so4,,od550bc od550dust od550oa od550so4,od550dust od550so4
CESM2-WACCM,r2i1p1f1,od550bc od550dust od550oa od550so4,,,,od550bc od550dust od550oa od550so4,od550dust od550so4
